"word1","word2","n"
"trump","fox",16
"trump","fuck",16
"trump","golf",16
"trump","hotel",16
"trump","landslide",16
"trump","likes",16
"trump","ninaturner",16
"trump","renews",16
"trump","scaramucci",16
"trump","throws",16
"trump","world",16
"trump","you’re",16
"white","nationalism",16
"wing","artist",16
"won’t","sacrifice",16
"world","trump",16
"worst","president",16
"yeah","trump",16
"2","2",15
"2020","realdonaldtrump",15
"2nd","amendment",15
"4","trump",15
"administration","expected",15
"administration","launches",15
"adolf","hitler",15
"alaska","resist",15
"amid","economic",15
"ass","trump",15
"border","wall",15
"boris","johnson",15
"bottom","line",15
"confirm","talks",15
"cry","cry",15
"dear","president",15
"detain","migrant",15
"detention","centers",15
"doesn’t","matter",15
"don’t","buy",15
"executive","wayne",15
"exterminate","miami",15
"fear","mongering",15
"frogmarge","rashoz2",15
"greenland","purchase",15
"heed","home",15
"hope","trump",15
"leaves","office",15
"liar","trump",15
"lie","trump",15
"lies","trump",15
"lindsey","graham",15
"losing","support",15
"maduro","confirm",15
"moron","trump",15
"nancy","pelosi",15
"native","american",15
"neeratanden","sensanders",15
"rashoz2","robreiner",15
"real","president",15
"realomarnavarro","realdonaldtrump",15
"renews","call",15
"senategop","housegop",15
"short","term",15
"spat","trump",15
"stop","lying",15
"supported","trump",15
"talks","mediation",15
"tax","dollars",15
"tedlieu","realdonaldtrump",15
"trump","anti",15
"trump","continues",15
"trump","era",15
"trump","guy",15
"trump","hey",15
"trump","hillary",15
"trump","inflated",15
"trump","maggienyt",15
"trump","shaped",15
"trump","speaks",15
"trump","suddenly",15
"trump","towers",15
"trump's","base",15
"trump's","twitter",15
"trump’s","policies",15
"twitter","followers",15
"u.s","economy",15
"vice","president",15
"votes","trump",15
"white","male",15
"women","voters",15
"wrong","trump",15
"11thhour","msnbc",14
"200","workers",14
"american","citizens",14
"ananavarro","ilhanmn",14
"arrest","neo",14
"batshit","crazy",14
"bernforbernie20","neeratanden",14
"bernie","bros",14
"bethlynch2020","brianefallon",14
"black","woman",14
"british","authorities",14
"calls","jews",14
"checks","trump",14
"control","laws",14
"cramer","trump",14
"damianpaletta","agearan",14
"deal","maker",14
"don’t","support",14
"economic","jitters",14
"endangered","species",14
"estate","deal",14
"facebook","pulls",14
"feds","arrest",14
"fellow","jews",14
"gary","johnson",14
"gop","strategist",14
"gopchairwoman","trump",14
"greenland","donald",14
"gun","buyers",14
"hear","trump",14
"kag","trump",14
"kevineverline","kmufone",14
"kmufone","ringerstirling",14
"kylieatwood","maggienyt",14
"laughing","stock",14
"lol","lol",14
"lying","trump",14
"mass","arrests",14
"mcnaughton","huffpost",14
"months","ago",14
"msnbc","cnn",14
"natural","resources",14
"opinion","trump",14
"people","voted",14
"poorly","educated",14
"prageru","realcandaceo",14
"realdonaldtrump","denmark",14
"realdonaldtrump","rashidatlaib",14
"remember","trump",14
"ringerstirling","john_a_stefani",14
"san","francisco",14
"sarahkendzior","skulldougie",14
"saudi","arabia",14
"secret","service",14
"solonl2001","ewerickson",14
"tells","trump",14
"traitor","trump",14
"trump","2",14
"trump","admits",14
"trump","maduro",14
"trump","statement",14
"trump","wouldn’t",14
"trump's","ass",14
"trump's","depiction",14
"trump's","presidency",14
"trump’s","chief",14
"trump’s","tariffs",14
"typical","trump",14
"u.s","trump",14
"unlike","trump",14
